hhid,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group
Y24H5740102,2,Casey (C),8,8
Y24H5740103,1,Casey (C),4,4
Y24H5740104,0,Casey (C),0,0
Y24H5740109,1,Casey (C),11,11
Y24H5740110,1,Casey (C),10,10
Y24H5740111,2,Casey (C),15,15
Y24H5740116,1,Casey (C),4,4
Y24H5740117,1,Casey (C),9,9
Y24H5740119,2,Casey (C),14,14
Y24H5740120,1,Casey (C),12,12
Y24H5740123,1,Casey (C),10,10
Y24H5740127,2,Casey (C),12,12
Y24H5740128,4,Casey (C),17,17
Y24H5740129,3,Casey (C),13,13
Y24H5740131,2,Casey (C),15,15
Y24H5740135,2,Casey (C),17,17
Y24H5740139,3,Casey (C),10,10
Y24H5740305,1,Stonnington (C),14,14
Y24H5740309,1,Stonnington (C),18,18
Y24H5740317,2,Stonnington (C),14,14
Y24H5740318,0,Stonnington (C),2,2
Y24H5740326,1,Stonnington (C),8,8
Y24H5740328,1,Stonnington (C),8,8
Y24H5740331,2,Stonnington (C),12,12
Y24H5740337,1,Stonnington (C),5,5
Y24H5740340,1,Stonnington (C),6,6
Y24H5740501,1,Wyndham (C),11,11
Y24H5740505,1,Wyndham (C),0,0
Y24H5740510,1,Wyndham (C),16,16
Y24H5740514,1,Wyndham (C),12,12
Y24H5740517,3,Wyndham (C),11,11
Y24H5740519,3,Wyndham (C),5,5
Y24H5740520,2,Wyndham (C),6,6
Y24H5740522,1,Wyndham (C),15,15
Y24H5740525,2,Wyndham (C),7,7
Y24H5740529,1,Wyndham (C),12,12
Y24H5740530,1,Wyndham (C),17,17
Y24H5740532,1,Wyndham (C),9,9
Y24H5740533,2,Wyndham (C),3,3
Y24H5740534,1,Wyndham (C),12,12
Y24H5740536,1,Wyndham (C),10,10
Y24H5740539,1,Wyndham (C),8,8
Y24H5740541,1,Wyndham (C),14,14
Y24H5750105,0,Mornington Peninsula (S),13,13
Y24H5750106,1,Mornington Peninsula (S),4,4
Y24H5750108,3,Mornington Peninsula (S),7,7
Y24H5750115,3,Mornington Peninsula (S),8,8
Y24H5750116,1,Mornington Peninsula (S),4,4
Y24H5750117,2,Mornington Peninsula (S),9,9
Y24H5750123,2,Mornington Peninsula (S),4,4
Y24H5750127,1,Mornington Peninsula (S),5,5
Y24H5750134,1,Mornington Peninsula (S),6,6
