hhid,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,homesubregion_ASGS,homeregion_ASGS,dayType,weekly_hhinc_group,annual_hhinc_group
Y24H5740102,2,"Unit, Flat or Apartment",Being Rented,0,2,July,Tuesday,Casey (C),25->29,25->29,30->34,MELB - Outer,Greater Melbourne,Weekday,8,8
Y24H5740103,1,Separate House,Fully Owned,0,1,July,Wednesday,Casey (C),70->74,70->74,70->74,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H5740104,1,Separate House,Being Rented,1,0,July,Thursday,Casey (C),55->59,55->59,55->59,MELB - Outer,Greater Melbourne,Weekday,0,0
Y24H5740109,5,Separate House,Being Purchased,5,1,July,Tuesday,Casey (C),10->14,25->29,45->49,MELB - Outer,Greater Melbourne,Weekday,11,11
Y24H5740110,3,Separate House,Being Rented,1,1,July,Wednesday,Casey (C),25->29,45->49,60->64,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5740111,3,Separate House,Being Purchased,0,2,July,Thursday,Casey (C),25->29,40->44,65->69,MELB - Outer,Greater Melbourne,Weekday,15,15
Y24H5740116,3,Separate House,Being Rented,0,1,July,Tuesday,Casey (C),10->14,20->24,40->44,MELB - Outer,Greater Melbourne,Weekday,4,4
Y24H5740117,2,Separate House,Fully Owned,2,1,July,Wednesday,Casey (C),65->69,70->74,75->79,MELB - Outer,Greater Melbourne,Weekday,9,9
Y24H5740119,2,Separate House,Fully Owned,0,2,July,Friday,Casey (C),60->64,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,14,14
Y24H5740120,1,Separate House,Fully Owned,Missing/Refused,1,July,Saturday,Casey (C),60->64,60->64,60->64,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5740123,1,Separate House,Fully Owned,0,1,July,Tuesday,Casey (C),65->69,65->69,65->69,MELB - Outer,Greater Melbourne,Weekday,10,10
Y24H5740127,2,Separate House,Being Rented,0,2,July,Saturday,Casey (C),30->34,30->34,35->39,MELB - Outer,Greater Melbourne,Weekend,12,12
Y24H5740128,5,Separate House,Being Purchased,1,4,July,Sunday,Casey (C),15->19,35->39,55->59,MELB - Outer,Greater Melbourne,Weekend,17,17
