tripid,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10
Y24H5740102P01T01,1249.316209438,1245.260846143,1602.356563247,1737.114324363,1386.61179613,1398.142955891,0.0,1273.6203754,1212.280623632,1075.466480102,1857.769283444
Y24H5740102P01T02,1249.316209438,1245.260846143,1602.356563247,1737.114324363,1386.61179613,1398.142955891,0.0,1273.6203754,1212.280623632,1075.466480102,1857.769283444
Y24H5740102P01T03,1249.316209438,1245.260846143,1602.356563247,1737.114324363,1386.61179613,1398.142955891,0.0,1273.6203754,1212.280623632,1075.466480102,1857.769283444
Y24H5740102P01T04,1249.316209438,1245.260846143,1602.356563247,1737.114324363,1386.61179613,1398.142955891,0.0,1273.6203754,1212.280623632,1075.466480102,1857.769283444
Y24H5740102P01T05,1249.316209438,1245.260846143,1602.356563247,1737.114324363,1386.61179613,1398.142955891,0.0,1273.6203754,1212.280623632,1075.466480102,1857.769283444
Y24H5740102P02T01,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576
Y24H5740102P02T02,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576
Y24H5740102P02T03,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576
Y24H5740102P02T04,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576
Y24H5740103P01T01,531.375373735,553.890237596,687.490737898,661.082753081,498.683272556,612.081142813,0.0,520.990610108,515.962121673,494.417873965,700.385227693
Y24H5740103P01T02,531.375373735,553.890237596,687.490737898,661.082753081,498.683272556,612.081142813,0.0,520.990610108,515.962121673,494.417873965,700.385227693
Y24H5740104P01T01,482.667095678,466.837261016,590.513462458,607.041441415,504.538560345,565.703526832,0.0,492.619046432,425.480656313,541.45019129,673.129057899
Y24H5740104P01T02,482.667095678,466.837261016,590.513462458,607.041441415,504.538560345,565.703526832,0.0,492.619046432,425.480656313,541.45019129,673.129057899
Y24H5740109P01T01,728.519231022,649.872074586,938.568166345,911.527653635,688.135406738,925.987072126,0.0,752.073525888,759.075545789,712.991593646,961.114372111
Y24H5740109P01T02,728.519231022,649.872074586,938.568166345,911.527653635,688.135406738,925.987072126,0.0,752.073525888,759.075545789,712.991593646,961.114372111
Y24H5740109P01T03,728.519231022,649.872074586,938.568166345,911.527653635,688.135406738,925.987072126,0.0,752.073525888,759.075545789,712.991593646,961.114372111
Y24H5740109P01T04,728.519231022,649.872074586,938.568166345,911.527653635,688.135406738,925.987072126,0.0,752.073525888,759.075545789,712.991593646,961.114372111
Y24H5740109P01T05,728.519231022,649.872074586,938.568166345,911.527653635,688.135406738,925.987072126,0.0,752.073525888,759.075545789,712.991593646,961.114372111
Y24H5740109P02T01,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419
Y24H5740109P02T02,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419
Y24H5740109P03T01,948.719791893,893.143820502,1100.585791815,1030.327605474,966.266946533,1208.473256634,0.0,974.842851834,1117.761835109,857.867891118,1359.779253554
Y24H5740109P03T02,948.719791893,893.143820502,1100.585791815,1030.327605474,966.266946533,1208.473256634,0.0,974.842851834,1117.761835109,857.867891118,1359.779253554
Y24H5740109P04T01,1976.756688822,1875.167021028,2140.66828216,2437.40033023,2251.539920494,2306.77122019,0.0,2081.823779497,1918.871675981,2080.848293473,2466.873078094
Y24H5740109P04T02,1976.756688822,1875.167021028,2140.66828216,2437.40033023,2251.539920494,2306.77122019,0.0,2081.823779497,1918.871675981,2080.848293473,2466.873078094
Y24H5740109P05T01,814.365992555,726.177401549,1039.385699658,942.900265338,1100.164244777,945.086867296,0.0,836.540612262,784.443784367,750.641867957,945.462075167
Y24H5740109P05T02,814.365992555,726.177401549,1039.385699658,942.900265338,1100.164244777,945.086867296,0.0,836.540612262,784.443784367,750.641867957,945.462075167
Y24H5740110P01T01,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T02,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T03,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T04,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T05,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T06,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T07,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T08,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T09,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T10,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T11,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T12,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P01T13,632.860777211,654.095354077,862.32207037,810.245516187,567.091987891,793.958158166,0.0,620.385730003,532.423852167,568.747841512,860.504681627
Y24H5740110P03T01,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269
Y24H5740110P03T02,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269
Y24H5740110P03T03,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269
Y24H5740110P03T04,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269
Y24H5740111P01T01,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937
Y24H5740111P01T02,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937
Y24H5740111P02T01,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726
Y24H5740111P02T02,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726
Y24H5740111P02T03,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726
Y24H5740111P02T04,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726
Y24H5740111P02T05,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726
Y24H5740117P01T01,504.590252286,518.555418526,598.223479408,679.877006519,420.445631162,619.036684267,0.0,505.826754843,468.671521336,471.671589673,793.300248287
Y24H5740117P01T02,504.590252286,518.555418526,598.223479408,679.877006519,420.445631162,619.036684267,0.0,505.826754843,468.671521336,471.671589673,793.300248287
Y24H5740117P02T01,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505
