tripid,hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,dayType,mainmode,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group,hhpoststratweight,trippoststratweight
Y24H5740102P01T01,Y24H5740102,Y24H5740102P01,13,809,13,813,4,1.8012,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,1249.316209438
Y24H5740102P01T02,Y24H5740102,Y24H5740102P01,13,823,13,828,5,1.8012,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,1249.316209438
Y24H5740102P01T03,Y24H5740102,Y24H5740102P01,16,965,16,1000,35,22.89185,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,1249.316209438
Y24H5740102P01T04,Y24H5740102,Y24H5740102P01,16,1003,17,1056,53,42.72692,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,1249.316209438
Y24H5740102P01T05,Y24H5740102,Y24H5740102P01,19,1147,19,1189,42,48.55273,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,1249.316209438
Y24H5740102P02T01,Y24H5740102,Y24H5740102P02,7,455,8,480,25,12.89117,Work,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,652.818030841
Y24H5740102P02T02,Y24H5740102,Y24H5740102P02,12,729,12,732,3,0.47899,Recreational,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,652.818030841
Y24H5740102P02T03,Y24H5740102,Y24H5740102P02,12,755,12,758,3,0.47899,Work,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,652.818030841
Y24H5740102P02T04,Y24H5740102,Y24H5740102P02,16,1000,17,1028,28,12.89117,Work,Weekday,Private,2.0,Casey (C),8.0,8.0,806.3371724,652.818030841
Y24H5740103P01T01,Y24H5740103,Y24H5740103P01,8,500,8,510,10,3.7239,Work,Weekday,Private,1.0,Casey (C),4.0,4.0,655.3046559,531.375373735
Y24H5740103P01T02,Y24H5740103,Y24H5740103P01,11,690,11,705,15,3.7239,Work,Weekday,Private,1.0,Casey (C),4.0,4.0,655.3046559,531.375373735
Y24H5740104P01T01,Y24H5740104,Y24H5740104P01,8,492,8,518,26,2.72681,Work,Weekday,Active,0.0,Casey (C),0.0,0.0,754.3656665,482.667095678
Y24H5740104P01T02,Y24H5740104,Y24H5740104P01,10,604,10,631,27,2.72681,Work,Weekday,Active,0.0,Casey (C),0.0,0.0,754.3656665,482.667095678
Y24H5740109P01T01,Y24H5740109,Y24H5740109P01,8,490,8,510,20,0.93423,Recreational,Weekday,Active,1.0,Casey (C),11.0,11.0,876.2877141,728.519231022
Y24H5740109P01T02,Y24H5740109,Y24H5740109P01,8,510,8,530,20,0.93423,Recreational,Weekday,Active,1.0,Casey (C),11.0,11.0,876.2877141,728.519231022
