hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6090234,Y24H6090234P01,11,718,12,749,31,18.114,Recreational,599.730422403,Weekend,Private,2.0,City,831.9626358,15,15
Y24H6070320,Y24H6070320P02,13,810,13,820,10,2.73124,Recreational,581.837118448,Weekend,Private,1.0,City,538.8869455,13,13
Y24H6086210,Y24H6086210P01,10,600,11,660,60,73.92649,Work,575.13351919,Weekday,Hired,3.0,Shire,333.6416754,3,3
Y24H5830104,Y24H5830104P02,10,600,10,620,20,5.38364,Recreational,546.063600089,Weekday,Private,2.0,City,542.1707771,12,12
Y24H6146104,Y24H6146104P02,14,868,14,893,25,39.46016,Recreational,81.348280053,Weekday,Private,2.0,City,92.09288537,8,8
Y24H6140420,Y24H6140420P02,14,880,14,887,7,2.05824,Recreational,284.125503971,Weekend,Private,2.0,City,495.1365128,13,13
Y24H6040311,Y24H6040311P01,8,497,9,540,43,23.00072,Work,465.267886739,Weekday,Private,2.0,City,359.7725982,13,13
Y24H5850524,Y24H5850524P01,23,1380,23,1410,30,19.40844,Work,921.513246518,Weekday,Private,3.0,City,1598.7601,12,12
Y24H6020412,Y24H6020412P01,15,908,15,911,3,2.04111,Recreational,578.895448137,Weekday,Private,2.0,City,550.085342,11,11
Y24H5890530,Y24H5890530P01,14,879,14,885,6,2.89504,Recreational,251.390841422,Weekday,Private,2.0,City,396.7669646,7,7
Y24H6036133,Y24H6036133P02,12,720,15,900,180,218.32965,Other,112.570730181,Weekday,Private,2.0,Shire,147.268409,10,10
Y24H5930515,Y24H5930515P01,8,485,8,494,9,2.44727,Work,376.524625813,Weekday,Private,2.0,City,336.6484983,10,10
Y24H5920402,Y24H5920402P03,11,675,11,684,9,3.7584,Recreational,1839.628929268,Weekday,Private,1.0,City,657.0099284,3,3
Y24H5920431,Y24H5920431P01,16,960,16,973,13,2.79657,Recreational,833.321575932,Weekday,Private,2.0,City,1153.826678,17,17
Y24H6180109,Y24H6180109P03,7,420,7,450,30,23.46288,Recreational,1300.27129175,Weekday,Private,4.0,City,1207.262363,15,15
Y24H5950209,Y24H5950209P01,20,1220,20,1225,5,2.06568,Recreational,413.689888951,Weekday,Private,2.0,City,570.7836644,14,14
Y24H6200304,Y24H6200304P03,18,1095,18,1105,10,7.13165,Recreational,769.114257962,Weekday,Private,1.0,City,653.3495608,2,2
Y24H6180523,Y24H6180523P02,18,1090,18,1110,20,5.76044,Work,511.728861657,Weekday,Private,2.0,City,591.4722623,17,17
Y24H6020409,Y24H6020409P01,13,801,13,813,12,4.38688,Recreational,464.901109091,Weekday,Private,2.0,City,412.6150554,13,13
Y24H5770323,Y24H5770323P02,15,910,15,924,14,7.96318,Recreational,1145.382156773,Weekday,Private,2.0,City,907.9782467,7,7
Y24H5880116,Y24H5880116P02,8,525,8,530,5,1.9507,Recreational,962.043705644,Weekday,Private,2.0,Shire,614.9576457,12,12
Y24H5870316,Y24H5870316P02,11,692,11,705,13,6.94868,Recreational,650.365924576,Weekday,Private,2.0,City,689.7694952,16,16
Y24H6090406,Y24H6090406P04,25,1530,26,1560,30,23.10696,Work,639.013043554,Weekend,Private,2.0,City,773.6070811,17,17
Y24H6200324,Y24H6200324P01,17,1062,17,1072,10,3.04545,Work,546.369852891,Weekday,Private,2.0,City,396.9651729,17,17
Y24H5860105,Y24H5860105P01,10,622,10,639,17,15.47314,Recreational,1189.742948655,Weekday,Private,4.0,City,1360.881291,17,17
Y24H5940525,Y24H5940525P04,16,998,16,1004,6,1.81199,Recreational,535.544911039,Weekday,Private,2.0,Shire,629.2324134,18,18
Y24H6140205,Y24H6140205P01,15,936,15,938,2,0.60158,Recreational,648.235567009,Weekday,Private,2.0,City,521.5610672,13,13
Y24H5990304,Y24H5990304P02,8,512,8,533,21,9.80238,Work,480.784293239,Weekday,Private,3.0,City,373.6430661,17,17
Y24H6140329,Y24H6140329P03,17,1020,17,1035,15,3.58217,Recreational,407.974612491,Weekday,Private,2.0,City,500.0651537,18,18
Y24H6080439,Y24H6080439P03,8,488,8,514,26,10.85381,Education,598.398714071,Weekday,Private,1.0,City,553.2305471,14,14
Y24H5820121,Y24H5820121P01,12,730,13,821,91,59.70039,Recreational,305.110894213,Weekend,Private,1.0,City,380.5580326,12,12
Y24H5910312,Y24H5910312P02,15,900,15,905,5,0.20278,Work,474.393495268,Weekday,Active,2.0,City,572.7209447,17,17
Y24H5840319,Y24H5840319P04,8,510,8,520,10,1.72573,Education,1031.318063139,Weekday,Private,2.0,City,770.383649,14,14
Y24H6130415,Y24H6130415P03,5,350,6,407,57,59.24255,Work,1435.604994472,Weekday,Private,2.0,City,1059.529631,15,15
Y24H6050332,Y24H6050332P01,9,540,9,545,5,0.57476,Recreational,520.723212197,Weekday,Active,1.0,City,466.3616359,4,4
Y24H5940126,Y24H5940126P01,8,495,8,498,3,1.78634,Recreational,486.544442086,Weekday,Private,3.0,City,820.7444663,9,9
Y24H5870341,Y24H5870341P01,12,720,12,721,1,0.65109,Recreational,937.995795425,Weekend,Private,1.0,City,866.762143,14,14
Y24H6130211,Y24H6130211P01,15,920,15,930,10,2.02757,Recreational,961.365027534,Weekday,Private,3.0,City,488.6016299,17,17
Y24H5740505,Y24H5740505P01,18,1084,20,1220,136,0.44328,Work,445.074066775,Weekday,Private,1.0,City,423.2629917,0,0
Y24H6170308,Y24H6170308P02,13,824,13,834,10,4.43714,Work,531.267433978,Weekday,Private,2.0,City,471.9342759,17,17
Y24H6040338,Y24H6040338P01,15,920,15,930,10,0.40009,Recreational,1266.571127583,Weekday,Active,1.0,City,1251.490765,6,6
Y24H6160139,Y24H6160139P02,8,480,9,540,60,4.60253,Recreational,1562.789123236,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6040534,Y24H6040534P01,19,1187,20,1215,28,8.77717,Recreational,409.308599213,Weekend,Private,1.0,Shire,432.8849966,16,16
Y24H6140229,Y24H6140229P01,10,655,11,660,5,0.04724,Recreational,706.191659336,Weekday,Active,2.0,City,559.8092849,7,7
Y24H5870115,Y24H5870115P03,5,330,5,350,20,10.57868,Work,1335.814468764,Weekday,Private,3.0,City,943.9574279,12,12
Y24H6086136,Y24H6086136P02,6,375,6,405,30,20.58053,Work,201.771460963,Weekday,Private,2.0,City,162.7971838,13,13
Y24H5790212,Y24H5790212P04,7,420,7,470,50,19.19978,Education,860.475391774,Weekday,Public,3.0,City,502.9580968,15,15
Y24H6230402,Y24H6230402P02,7,428,7,433,5,2.62703,Recreational,264.603108333,Weekday,Private,1.0,City,288.6834153,11,11
Y24H5970324,Y24H5970324P01,8,503,8,506,3,0.14136,Recreational,599.152407462,Weekday,Active,2.0,City,605.3228485,9,9
Y24H6220429,Y24H6220429P02,8,510,8,520,10,2.32396,Recreational,927.229848103,Weekday,Private,2.0,City,1324.412039,17,17
Y24H6040138,Y24H6040138P02,9,540,9,560,20,10.75946,Work,512.128338287,Weekday,Private,2.0,Shire,729.206274,12,12
Y24H6020313,Y24H6020313P01,17,1031,17,1040,9,5.38533,Recreational,535.562514259,Weekend,Private,2.0,City,479.6517697,9,9
Y24H5940204,Y24H5940204P01,9,588,9,596,8,3.57465,Work,342.049063979,Weekday,Private,1.0,City,589.249166,12,12
Y24H5790240,Y24H5790240P06,7,435,7,457,22,5.30906,Recreational,540.124759187,Weekday,Private,1.0,City,591.5930532,16,16
Y24H6136226,Y24H6136226P03,17,1077,18,1087,10,7.11783,Recreational,102.43878156,Weekday,Private,2.0,City,112.8532801,14,14
Y24H5780341,Y24H5780341P01,11,690,11,699,9,5.05521,Work,609.75406899,Weekend,Private,1.0,City,440.5355204,17,17
Y24H5780341,Y24H5780341P01,16,1007,17,1040,33,6.12563,Recreational,609.75406899,Weekend,Active,1.0,City,440.5355204,17,17
Y24H5770336,Y24H5770336P01,19,1140,19,1157,17,1.53992,Recreational,660.980427992,Weekday,Active,1.0,City,546.2503394,14,14
Y24H5790536,Y24H5790536P01,19,1185,20,1200,15,13.57337,Recreational,689.037810837,Weekday,Private,2.0,City,407.9219687,8,8
Y24H6140510,Y24H6140510P01,16,970,17,1027,57,25.30237,Work,699.610871035,Weekday,Public,0.0,City,739.6290706,6,6
Y24H6240410,Y24H6240410P03,14,850,14,870,20,12.50989,Recreational,434.609461132,Weekday,Private,2.0,City,377.0845992,10,10
Y24H6146204,Y24H6146204P04,17,1033,17,1038,5,0.70617,Recreational,184.660640061,Weekday,Private,2.0,City,104.8310614,15,15
Y24H5910301,Y24H5910301P03,8,499,8,508,9,2.71653,Education,393.183581052,Weekday,Private,2.0,City,480.3809967,18,18
Y24H5990413,Y24H5990413P02,10,630,11,670,40,12.31617,Recreational,512.745994166,Weekend,Private,1.0,City,513.5536684,6,6
Y24H6130225,Y24H6130225P02,14,865,15,900,35,29.56452,Recreational,541.408572667,Weekday,Private,2.0,City,339.1423216,8,8
Y24H5870426,Y24H5870426P02,8,480,8,500,20,7.48742,Recreational,370.091262313,Weekday,Private,1.0,City,426.6803877,13,13
Y24H5870134,Y24H5870134P02,17,1035,17,1059,24,5.14362,Work,589.285782435,Weekend,Private,1.0,City,649.3560927,12,12
Y24H6250401,Y24H6250401P02,16,990,16,1002,12,10.64199,Work,348.522513101,Weekday,Private,1.0,City,553.9216196,13,13
Y24H6126219,Y24H6126219P01,17,1056,18,1112,56,100.34556,Recreational,419.717049851,Weekday,Private,1.0,Shire,133.3340844,14,14
Y24H5820525,Y24H5820525P05,12,735,12,777,42,21.10874,Recreational,350.880636345,Weekday,Private,2.0,City,358.1253763,18,18
Y24H6210214,Y24H6210214P02,12,723,12,728,5,2.09766,Recreational,650.022017761,Weekend,Private,2.0,City,603.0543716,9,9
Y24H6200405,Y24H6200405P02,4,270,5,300,30,37.76451,Work,5069.865520223,Weekday,Private,4.0,Shire,2324.925105,15,15
Y24H5990340,Y24H5990340P04,10,609,10,618,9,3.3892,Recreational,1129.253885695,Weekday,Private,2.0,City,770.383649,18,18
Y24H5820522,Y24H5820522P01,19,1166,19,1170,4,1.88785,Recreational,155.030925212,Weekday,Private,1.0,City,268.9676557,12,12
Y24H5800224,Y24H5800224P03,7,443,8,505,62,20.36022,Work,721.156439682,Weekday,Public,2.0,City,894.9624903,11,11
Y24H6010505,Y24H6010505P04,8,495,8,505,10,2.71032,Education,529.546135312,Weekday,Private,2.0,City,421.32722,12,12
Y24H5810229,Y24H5810229P04,14,845,14,852,7,3.30707,Work,1082.414801973,Weekday,Private,5.0,City,1312.929524,12,12
Y24H6010127,Y24H6010127P01,13,833,14,846,13,7.8043,Work,284.243475544,Weekend,Private,3.0,Shire,523.6393326,6,6
Y24H6190308,Y24H6190308P01,10,611,10,627,16,10.1146,Recreational,411.374042672,Weekday,Private,1.0,City,404.7863583,9,9
Y24H6126123,Y24H6126123P01,10,656,11,715,59,Missing,Other,193.39651255,Weekday,Private,2.0,Shire,230.014582,8,8
Y24H6056217,Y24H6056217P01,10,651,10,654,3,0.91551,Recreational,153.112056697,Weekday,Private,1.0,Shire,130.8438712,8,8
Y24H6130119,Y24H6130119P03,8,493,8,502,9,4.50412,Education,4806.137426856,Weekday,Private,2.0,City,1779.05088,12,12
Y24H6056232,Y24H6056232P01,7,450,7,465,15,0.90592,Recreational,110.727570004,Weekday,Active,1.0,Shire,79.41917949,6,6
Y24H6250139,Y24H6250139P01,10,647,11,661,14,12.91855,Recreational,553.403200293,Weekday,Private,1.0,City,582.0265149,11,11
Y24H6150305,Y24H6150305P01,16,965,16,990,25,16.04561,Work,790.772242219,Weekday,Private,3.0,City,1130.485587,14,14
Y24H6170301,Y24H6170301P01,16,1004,16,1017,13,1.03963,Recreational,563.51879588,Weekday,Active,1.0,City,307.8915893,18,18
