hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5910312,Y24H5910312P02,15,900,15,905,5,0.20278,Work,474.393495268,Weekday,Active,2.0,City,572.7209447,17,17
Y24H6050332,Y24H6050332P01,9,540,9,545,5,0.57476,Recreational,520.723212197,Weekday,Active,1.0,City,466.3616359,4,4
Y24H6040338,Y24H6040338P01,15,920,15,930,10,0.40009,Recreational,1266.571127583,Weekday,Active,1.0,City,1251.490765,6,6
Y24H6160139,Y24H6160139P02,8,480,9,540,60,4.60253,Recreational,1562.789123236,Weekday,Active,2.0,Shire,1288.769985,12,12
Y24H6140229,Y24H6140229P01,10,655,11,660,5,0.04724,Recreational,706.191659336,Weekday,Active,2.0,City,559.8092849,7,7
Y24H5970324,Y24H5970324P01,8,503,8,506,3,0.14136,Recreational,599.152407462,Weekday,Active,2.0,City,605.3228485,9,9
Y24H5780341,Y24H5780341P01,16,1007,17,1040,33,6.12563,Recreational,609.75406899,Weekend,Active,1.0,City,440.5355204,17,17
Y24H5770336,Y24H5770336P01,19,1140,19,1157,17,1.53992,Recreational,660.980427992,Weekday,Active,1.0,City,546.2503394,14,14
Y24H6056232,Y24H6056232P01,7,450,7,465,15,0.90592,Recreational,110.727570004,Weekday,Active,1.0,Shire,79.41917949,6,6
Y24H6170301,Y24H6170301P01,16,1004,16,1017,13,1.03963,Recreational,563.51879588,Weekday,Active,1.0,City,307.8915893,18,18
Y24H6110504,Y24H6110504P01,7,420,7,440,20,1.8367,Work,865.763784759,Weekday,Active,2.0,Shire,994.4577565,12,12
Y24H5980218,Y24H5980218P01,21,1285,21,1289,4,0.18839,Work,495.037300695,Weekday,Active,1.0,City,452.6168652,15,15
Y24H6020406,Y24H6020406P02,9,599,10,602,3,0.54721,Recreational,345.443609582,Weekend,Active,2.0,City,306.5925878,13,13
Y24H6190325,Y24H6190325P02,15,930,15,935,5,0.50551,Recreational,338.099576993,Weekday,Active,1.0,City,513.7296394,10,10
Y24H5800217,Y24H5800217P02,6,413,6,419,6,0.74113,Recreational,754.396411671,Weekday,Active,4.0,City,1166.288604,16,16
Y24H5780405,Y24H5780405P04,11,677,11,688,11,0.91143,Recreational,311.426243912,Weekday,Active,1.0,City,261.9456049,16,16
Y24H6090327,Y24H6090327P03,16,993,16,998,5,0.30711,Recreational,390.713767602,Weekend,Active,1.0,City,387.7941255,18,18
Y24H6150322,Y24H6150322P03,9,570,9,585,15,0.51151,Recreational,561.119136463,Weekday,Active,1.0,City,534.7595072,14,14
Y24H5780414,Y24H5780414P03,16,990,16,991,1,0.10784,Recreational,326.862911568,Weekend,Active,0.0,City,274.9296335,14,14
Y24H6190304,Y24H6190304P04,17,1070,18,1080,10,0.87113,Recreational,741.481946504,Weekday,Active,2.0,City,524.2743124,14,14
Y24H6000340,Y24H6000340P01,18,1104,18,1115,11,0.74064,Recreational,383.591120737,Weekday,Active,1.0,City,569.4490309,12,12
Y24H6130313,Y24H6130313P01,14,840,14,843,3,0.36713,Recreational,656.651860375,Weekend,Active,1.0,City,773.9147492,14,14
Y24H6250101,Y24H6250101P04,8,510,8,518,8,0.62836,Recreational,975.046629916,Weekday,Active,2.0,City,798.467673,14,14
Y24H5900342,Y24H5900342P01,17,1068,17,1072,4,0.19157,Recreational,646.004564111,Weekend,Active,2.0,City,1197.300853,14,14
Y24H5790322,Y24H5790322P02,8,533,9,545,12,1.0559,Recreational,563.619189574,Weekday,Active,1.0,City,595.2351785,6,6
Y24H6086125,Y24H6086125P01,11,705,12,735,30,1.49144,Recreational,448.730198175,Weekday,Active,2.0,City,244.6058099,18,18
Y24H6020511,Y24H6020511P01,9,570,10,600,30,1.62134,Work,412.634608692,Weekday,Active,2.0,City,581.9348089,15,15
Y24H5810431,Y24H5810431P03,13,818,13,828,10,0.79159,Recreational,350.064196185,Weekday,Active,1.0,City,301.3236784,10,10
Y24H6080317,Y24H6080317P02,8,485,8,493,8,0.47813,Recreational,133.845663988,Weekday,Active,1.0,City,249.93575,17,17
Y24H6130327,Y24H6130327P01,10,615,10,630,15,1.44164,Recreational,2103.318862363,Weekend,Active,1.0,City,1430.335019,12,12
Y24H5970341,Y24H5970341P01,10,617,10,649,32,9.42332,Recreational,437.759562549,Weekend,Active,2.0,City,618.8851256,3,3
Y24H5810126,Y24H5810126P04,15,915,15,925,10,0.71135,Education,779.341637787,Weekday,Active,2.0,City,761.6717709,14,14
Y24H5750333,Y24H5750333P04,17,1040,17,1050,10,2.1513,Work,1684.705360423,Weekday,Active,3.0,City,1271.140947,19,19
Y24H6180214,Y24H6180214P01,17,1050,17,1065,15,0.37571,Work,180.454766624,Weekend,Active,0.0,City,266.3327403,3,3
Y24H6110315,Y24H6110315P03,9,580,10,629,49,6.05255,Recreational,583.814746932,Weekday,Active,3.0,City,446.8707911,17,17
Y24H6230436,Y24H6230436P03,11,710,12,721,11,0.72527,Recreational,870.88128585,Weekday,Active,2.0,City,605.8127597,15,15
Y24H6190304,Y24H6190304P03,15,915,15,918,3,0.26147,Work,238.336390279,Weekday,Active,2.0,City,524.2743124,14,14
Y24H6000326,Y24H6000326P01,15,914,15,932,18,0.88293,Recreational,696.168279154,Weekday,Active,0.0,City,688.2573708,9,9
Y24H5750218,Y24H5750218P01,7,427,7,444,17,0.67895,Work,648.35110364,Weekday,Active,1.0,City,560.9110197,12,12
Y24H6090334,Y24H6090334P02,10,620,10,622,2,0.20846,Recreational,207.385680975,Weekend,Active,1.0,City,450.6561629,17,17
Y24H6110142,Y24H6110142P01,15,933,15,938,5,0.30936,Recreational,907.41110415,Weekend,Active,2.0,Shire,650.5127785,12,12
Y24H5910410,Y24H5910410P03,8,531,8,536,5,1.27011,Education,402.778208554,Weekday,Active,1.0,City,304.5174502,12,12
Y24H5780406,Y24H5780406P01,9,540,9,541,1,0.12514,Recreational,249.841466464,Weekend,Active,1.0,City,252.0612366,9,9
Y24H6180407,Y24H6180407P01,12,750,12,755,5,0.34519,Recreational,919.6573256,Weekend,Active,2.0,City,660.0359641,5,5
Y24H5990318,Y24H5990318P01,11,669,11,679,10,0.70276,Work,573.133982097,Weekday,Active,2.0,City,486.5074288,13,13
Y24H5800421,Y24H5800421P01,11,695,11,719,24,1.01475,Work,1385.92675985,Weekend,Active,2.0,City,1355.610415,17,17
Y24H5760327,Y24H5760327P01,11,660,11,665,5,0.15822,Recreational,830.210763544,Weekend,Active,1.0,City,641.9679758,12,12
Y24H5830118,Y24H5830118P05,12,720,12,735,15,0.36126,Recreational,563.625372547,Weekday,Active,3.0,City,487.9968777,17,17
Y24H5990512,Y24H5990512P01,9,576,9,581,5,0.35141,Work,531.653085096,Weekday,Active,1.0,City,415.6443881,4,4
Y24H6200307,Y24H6200307P01,11,675,11,690,15,1.13663,Work,725.10952347,Weekend,Active,1.0,City,746.8520173,14,14
Y24H5810401,Y24H5810401P01,13,787,13,806,19,0.92971,Recreational,486.606237712,Weekday,Active,1.0,City,510.1374307,12,12
Y24H6170318,Y24H6170318P01,15,920,15,930,10,0.80516,Recreational,332.839031977,Weekday,Active,1.0,City,324.8190088,8,8
Y24H5880504,Y24H5880504P03,8,515,8,520,5,0.46043,Education,478.95908515,Weekday,Active,2.0,City,598.6511132,8,8
Y24H6160328,Y24H6160328P02,16,994,16,998,4,0.15552,Work,739.951280673,Weekend,Active,1.0,City,928.492242,13,13
Y24H6020424,Y24H6020424P01,15,940,15,955,15,1.04514,Recreational,268.568990669,Weekday,Active,2.0,City,249.8949198,15,15
Y24H6030212,Y24H6030212P04,15,935,15,942,7,0.46583,Recreational,1035.685784259,Weekday,Active,2.0,City,665.8612608,4,4
Y24H5850515,Y24H5850515P02,17,1040,17,1052,12,0.56745,Other,436.498109119,Weekday,Active,1.0,Shire,536.2657297,12,12
Y24H6160239,Y24H6160239P01,16,967,16,972,5,0.20628,Recreational,467.988588227,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6070328,Y24H6070328P02,15,951,16,994,43,3.05898,Other,553.677373465,Weekend,Active,2.0,City,539.9984368,8,8
Y24H6140331,Y24H6140331P01,11,660,11,664,4,0.50163,Recreational,482.441516849,Weekday,Active,1.0,City,550.8209324,13,13
Y24H5780327,Y24H5780327P02,8,482,8,499,17,1.80107,Recreational,687.223846564,Weekend,Active,5.0,City,618.3469504,12,12
Y24H5890312,Y24H5890312P02,15,934,15,939,5,0.19814,Recreational,2094.549116032,Weekday,Active,0.0,City,1281.805485,12,12
Y24H5970432,Y24H5970432P04,16,1012,17,1025,13,0.8173,Recreational,892.285860801,Weekday,Active,2.0,City,588.7553615,18,18
Y24H6090232,Y24H6090232P01,8,536,9,545,9,0.94974,Recreational,422.950817446,Weekday,Active,1.0,City,645.7016438,11,11
Y24H6090224,Y24H6090224P03,10,600,10,610,10,0.82931,Recreational,747.221032557,Weekday,Active,2.0,City,813.7309684,12,12
Y24H6010222,Y24H6010222P03,18,1110,18,1135,25,0.79206,Recreational,350.519639304,Weekday,Active,1.0,City,379.9639033,17,17
Y24H6130218,Y24H6130218P01,15,945,15,951,6,0.47589,Recreational,920.400502066,Weekday,Active,2.0,City,527.5547226,8,8
Y24H6020333,Y24H6020333P01,9,560,9,581,21,1.89929,Recreational,522.056305536,Weekday,Active,1.0,City,497.8231844,18,18
Y24H5790141,Y24H5790141P03,22,1328,22,1356,28,1.46665,Recreational,506.26574334,Weekend,Active,2.0,City,514.9175819,14,14
Y24H6250428,Y24H6250428P02,10,615,10,640,25,2.12464,Recreational,1009.920535858,Weekend,Active,2.0,City,401.0855351,15,15
Y24H6250426,Y24H6250426P01,17,1070,18,1080,10,0.61623,Recreational,585.972748797,Weekday,Active,1.0,City,461.9673921,7,7
Y24H5740340,Y24H5740340P02,8,495,8,520,25,2.45053,Education,678.48551527,Weekday,Active,1.0,City,753.3650805,6,6
Y24H6020322,Y24H6020322P01,14,896,15,904,8,0.65387,Recreational,386.751834491,Weekday,Active,1.0,City,500.7294778,11,11
Y24H6060331,Y24H6060331P01,12,750,13,780,30,0.94052,Recreational,482.740765683,Weekday,Active,1.0,City,506.0850331,12,12
Y24H5840309,Y24H5840309P01,12,740,12,745,5,0.18454,Recreational,502.611050422,Weekday,Active,1.0,City,547.1699936,12,12
Y24H6200307,Y24H6200307P03,13,780,13,785,5,0.29358,Recreational,952.945044491,Weekend,Active,1.0,City,746.8520173,14,14
Y24H5900323,Y24H5900323P06,11,690,11,695,5,0.15715,Recreational,1265.960693754,Weekday,Active,3.0,City,1040.26527,18,18
Y24H5970214,Y24H5970214P02,10,630,10,637,7,0.55437,Work,501.791478088,Weekend,Active,2.0,City,576.7391693,12,12
Y24H6000329,Y24H6000329P02,8,510,8,517,7,0.46817,Work,821.974656704,Weekday,Active,2.0,City,726.4081265,17,17
Y24H5970337,Y24H5970337P01,9,540,9,549,9,0.4607,Work,559.317753187,Weekday,Active,1.0,City,503.3987835,7,7
Y24H5770517,Y24H5770517P03,8,525,8,532,7,0.37222,Education,1272.291448173,Weekday,Active,2.0,City,954.212146,13,13
Y24H5980218,Y24H5980218P03,21,1298,21,1312,14,0.73225,Work,348.03824469,Weekday,Active,1.0,City,452.6168652,15,15
Y24H5760242,Y24H5760242P03,15,928,15,930,2,0.25733,Recreational,603.329624061,Weekend,Active,3.0,City,296.9630763,16,16
Y24H6170438,Y24H6170438P02,13,782,13,797,15,0.77236,Recreational,2314.696165327,Weekday,Active,2.0,City,1507.547939,8,8
Y24H6230132,Y24H6230132P01,15,937,15,954,17,1.71919,Work,921.542844232,Weekday,Active,3.0,City,1010.000001,18,18
Y24H5950431,Y24H5950431P02,11,662,11,663,1,0.1349,Recreational,252.716575411,Weekday,Active,3.0,City,322.2588632,17,17
Y24H5940111,Y24H5940111P01,17,1025,17,1037,12,0.78647,Recreational,684.935883335,Weekday,Active,2.0,City,806.3476207,9,9
