hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740102,Y24H5740102P01,13,809,13,813,4.0,1.8012,Recreational,1249.316209438,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P01,13,823,13,828,5.0,1.8012,Recreational,1249.316209438,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P01,16,965,16,1000,35.0,22.89185,Recreational,1249.316209438,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P01,16,1003,17,1056,53.0,42.72692,Recreational,1249.316209438,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P01,19,1147,19,1189,42.0,48.55273,Recreational,1249.316209438,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P02,7,455,8,480,25.0,12.89117,Work,652.818030841,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P02,12,729,12,732,3.0,0.47899,Recreational,652.818030841,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P02,12,755,12,758,3.0,0.47899,Work,652.818030841,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740102,Y24H5740102P02,16,1000,17,1028,28.0,12.89117,Work,652.818030841,Weekday,Private,2.0,City,806.3371724,8,8
Y24H5740103,Y24H5740103P01,8,500,8,510,10.0,3.7239,Work,531.375373735,Weekday,Private,1.0,City,655.3046559,4,4
Y24H5740103,Y24H5740103P01,11,690,11,705,15.0,3.7239,Work,531.375373735,Weekday,Private,1.0,City,655.3046559,4,4
Y24H5740104,Y24H5740104P01,8,492,8,518,26.0,2.72681,Work,482.667095678,Weekday,Active,0.0,City,754.3656665,0,0
Y24H5740104,Y24H5740104P01,10,604,10,631,27.0,2.72681,Work,482.667095678,Weekday,Active,0.0,City,754.3656665,0,0
Y24H5740109,Y24H5740109P01,8,490,8,510,20.0,0.93423,Recreational,728.519231022,Weekday,Active,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P01,8,510,8,530,20.0,0.93423,Recreational,728.519231022,Weekday,Active,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P01,11,660,11,670,10.0,2.56442,Recreational,728.519231022,Weekday,Active,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P01,12,720,12,750,30.0,4.09291,Recreational,728.519231022,Weekday,Active,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P01,12,750,12,770,20.0,6.65475,Recreational,728.519231022,Weekday,Active,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P02,7,450,7,454,4.0,1.33689,Work,760.235357962,Weekday,Private,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P02,16,997,16,1003,6.0,1.33689,Work,760.235357962,Weekday,Private,1.0,City,876.2877141,11,11
Y24H5740109,Y24H5740109P03,8,490,8,513,23.0,4.78611,Education,948.719791893,Weekday,Public,1.0,City,876.2877141,11,11
